state,year,pctblack_10plus,pctblack_under10,pctblack_prisonpop,pctblack_statepop,rri_10plus,rri_under10,rri_statepop,numwomen_10plus,numwomen_under10,numwomen_prisonpop,pctwomen_10plus,los_mean_notviol,los_mean_violent,los_mean_all,los_90thpct_notviol,los_90thpct_violent,los_90thpct_all,yrendpop_notviol,yrendpop_violent,yrendpop_all,los_0_2_count,los_2_5_count,los_5_10_count,los_10_15_count,los_15_20_count,los_20_25_count,los_25plus_count,los_10plus_count,los_0_2_pct,los_2_5_pct,los_5_10_pct,los_10_15_pct,los_15_20_pct,los_20_25_pct,los_25plus_pct,los_10plus_pct,los_meantop10,los_meanbottom90
AK,2005,0.089552239,0.10640067,0.10551181,0.035350688,2.5332532,3.0098612,2.9847174,7,188,195,0.035897437,1.5418026,4.0415773,2.7731075,3.6303902,9.3771391,5.9603014,1290,1236,2540,1504,717,185,61,41,25,7,134,0.59212601,0.28228346,0.072834648,0.024015749,0.016141733,0.00984252,0.002755906,0.052755907,12.481074,1.7273737
AK,2006,0.12230216,0.10699756,0.10781671,0.0348644,3.5079381,3.0689631,3.0924585,6,188,194,0.030927835,1.535423,4.2174459,2.834269,3.6303902,9.2922659,5.8726897,1344,1244,2597,1578,590,290,66,33,27,13,139,0.60762417,0.22718522,0.11166731,0.02541394,0.01270697,0.010396612,0.005005776,0.053523295,12.367107,1.7918059
AK,2007,0.10833333,0.10507391,0.10522303,0.034962516,3.0985565,3.0053303,3.0095954,4,227,231,0.017316017,1.4324914,4.1733756,2.739217,3.3757701,8.6297054,6.3764544,1361,1254,2623,1648,433,422,55,28,24,13,120,0.62828821,0.16507815,0.16088448,0.020968357,0.0106748,0.009149828,0.004956157,0.045749143,13.218789,1.8319137
AK,2008,0.10185185,0.10146605,0.10148148,0.034845918,2.9229205,2.911849,2.9122918,5,244,249,0.020080321,1.340874,4.2317214,2.6987796,3.0444901,7.8357286,7.2114987,1424,1270,2700,1778,392,422,48,22,23,15,108,0.65851849,0.14518519,0.1562963,0.017777778,0.008148148,0.008518519,0.005555556,0.039999999,11.861976,1.6973786
AK,2009,0.1,0.10397445,0.10383824,0.034309875,2.9146128,3.0304525,3.0264826,5,306,311,0.01607717,1.2870167,4.2173567,2.6499393,2.7980835,8.3778238,7.6303902,1557,1358,2918,1942,444,432,39,25,21,15,100,0.6655243,0.15215902,0.14804661,0.013365319,0.008567512,0.00719671,0.005140507,0.034270048,11.96268,1.6536598
AK,2010,0.088235296,0.099504381,0.099082567,0.034611028,2.5493405,2.8749328,2.8627455,5,264,269,0.01858736,1.4231389,4.5385232,2.9530368,2.9596167,9.3771391,8.6297054,1380,1340,2725,1722,466,435,47,22,17,16,102,0.6319266,0.17100917,0.15963303,0.017247707,0.008073394,0.006238532,0.00587156,0.037431192,12.700868,1.972742
AK,2011,0.09137056,0.098960198,0.098459475,0.035557337,2.5696683,2.7831161,2.7690339,10,312,322,0.031055901,1.2896911,4.4242392,2.8211663,2.7104723,10.376454,9.5441475,1525,1459,2986,1888,573,328,148,20,12,17,197,0.63228399,0.19189551,0.10984595,0.049564634,0.006697924,0.004018754,0.005693235,0.065974548,12.457306,1.7806778
AK,2012,0.11046512,0.090465464,0.092752658,0.037803531,2.9220846,2.3930428,2.4535449,13,296,309,0.042071197,1.351281,4.4616246,2.9298007,2.9596167,11.211499,10.546202,1480,1527,3008,1925,531,208,302,17,9,16,344,0.63996011,0.17652926,0.069148935,0.10039894,0.005651596,0.002992021,0.005319149,0.1143617,13.150345,1.9260305
AK,2013,0.11209439,0.092016235,0.094679184,0.038965777,2.8767397,2.3614628,2.4298036,13,187,200,0.064999998,1.5588547,5.1394939,3.4888809,3.3785079,12.043806,11.545517,1173,1379,2556,1449,518,250,305,14,5,15,339,0.56690139,0.20266041,0.097809076,0.11932708,0.005477308,0.001956182,0.005868545,0.13262911,13.690099,2.4171576
AL,2007,0.65653938,0.60359061,0.6105355,0.26271391,2.4990659,2.2975206,2.3239558,39,1754,1793,0.021751255,1.9610138,6.1448197,4.0079017,4.0438056,15.627652,11.874059,13458,12891,26349,14420,5526,2947,1872,964,391,229,3456,0.54726934,0.20972332,0.11184485,0.071046337,0.03658583,0.014839273,0.008691032,0.13116248,17.436127,2.5296428
